OrderID,SupplierID,OrderDate,OrderValueUSD,PaymentMethod,LeadTimeDays
ORD_1,27,2022-03-18,40806,Bank Transfer,38
ORD_2,28,2022-03-18,42822,Cash,22
ORD_3,40,2022-01-28,29148,Cash,87
ORD_4,34,2022-09-02,19769,Credit Card,49
ORD_5,32,2022-03-07,9877,Credit Card,68
ORD_6,15,2022-09-23,36431,Bank Transfer,15
ORD_7,44,2022-07-24,21068,Bank Transfer,65
ORD_8,17,2022-02-27,37909,Credit Card,54
ORD_9,33,2022-07-20,11392,Cash,30
ORD_10,47,2022-08-13,40894,Credit Card,20
ORD_11,46,2022-05-22,14023,Bank Transfer,33
ORD_12,16,2022-03-25,27803,Bank Transfer,86
ORD_13,29,2022-05-23,18757,Credit Card,77
ORD_14,9,2022-12-18,3729,Credit Card,7
ORD_15,33,2022-02-02,2214,Credit Card,8
ORD_16,49,2022-06-01,34545,Bank Transfer,28
ORD_17,29,2022-06-07,35962,Cash,45
ORD_18,13,2022-05-21,25674,Credit Card,73
ORD_19,21,2022-09-08,32449,Bank Transfer,89
ORD_20,21,2022-10-30,22357,Bank Transfer,80
ORD_21,5,2022-04-22,35152,Bank Transfer,74
ORD_22,10,2022-05-24,37920,Credit Card,11
ORD_23,6,2022-07-28,18073,Credit Card,31
ORD_24,13,2022-08-12,25837,Cash,12
ORD_25,1,2022-02-12,12147,Bank Transfer,78
ORD_26,20,2022-09-21,22213,Credit Card,51
ORD_27,47,2022-09-01,794,Bank Transfer,44
ORD_28,46,2022-01-03,15688,Bank Transfer,50
ORD_29,8,2022-05-05,45923,Cash,17
ORD_30,10,2022-09-25,48948,Credit Card,35
ORD_31,9,2022-03-25,20167,Credit Card,1
ORD_32,49,2022-01-16,6804,Bank Transfer,29
ORD_33,41,2022-11-30,40236,Bank Transfer,51
ORD_34,3,2022-02-28,2071,Cash,64
ORD_35,11,2022-06-26,47461,Cash,4
ORD_36,12,2022-03-04,40923,Cash,87
ORD_37,10,2022-02-18,11541,Cash,28
ORD_38,25,2022-11-03,31576,Cash,16
ORD_39,49,2022-09-03,14777,Cash,63
ORD_40,49,2022-10-16,27918,Bank Transfer,76
ORD_41,25,2022-10-13,1968,Cash,53
ORD_42,11,2022-11-28,18155,Bank Transfer,85
ORD_43,36,2022-01-15,1828,Bank Transfer,17
ORD_44,39,2022-12-04,7732,Credit Card,40
ORD_45,26,2022-09-12,12143,Bank Transfer,13
ORD_46,14,2022-04-02,6503,Bank Transfer,52
ORD_47,39,2022-10-06,15832,Cash,58
